PNG source,Final WebP,Dimensions,Has transparency
cadbury-boost-chocolate-bar-duo-68g.png,cadbury-boost-chocolate-bar-duo-68g.webp,1200x1200,yes
cadbury-double-decker-duo-chocolate-bar-80g.png,cadbury-double-decker-duo-chocolate-bar-80g.webp,1200x1200,yes
coca-cola-cherry-500ml.png,coca-cola-cherry-500ml.webp,1200x1200,yes
coca-cola-cherry-can-330ml.png,coca-cola-cherry-can-330ml.webp,1200x1200,yes
coca-cola-original-can-330ml.png,coca-cola-original-can-330ml.webp,1200x1200,yes
coca-cola-original-taste-500ml.png,coca-cola-original-taste-500ml.webp,1200x1200,yes
coca-cola-zero-500ml.png,coca-cola-zero-500ml.webp,1200x1200,yes
diet-coke-500ml.png,diet-coke-500ml.webp,1200x1200,yes
diet-coke-can-330ml.png,diet-coke-can-330ml.webp,1200x1200,yes
dr-pepper-500ml.png,dr-pepper-500ml.webp,1200x1200,yes
dr-pepper-can-330ml.png,dr-pepper-can-330ml.webp,1200x1200,yes
fanta-icy-lemon-500ml.png,fanta-icy-lemon-500ml.webp,1200x1200,yes
fanta-lemon-can-gb.png,fanta-lemon-can-gb.webp,1200x1200,yes
fanta-orange-500ml.png,fanta-orange-500ml.webp,1200x1200,yes
fanta-orange-can-330ml.png,fanta-orange-can-330ml.webp,1200x1200,yes
fanta-zero-orange-500ml.png,fanta-zero-orange-500ml.webp,1200x1200,yes
harrogate-spring-bottled-water-500ml.png,harrogate-spring-bottled-water-500ml.webp,1200x1200,yes
harrogate-spring-sparkling-water-500ml.png,harrogate-spring-sparkling-water-500ml.webp,1200x1200,yes
irn-bru-500ml.png,irn-bru-500ml.webp,1200x1200,yes
lucozade-sport-orange-500ml.png,lucozade-sport-orange-500ml.webp,1200x1200,yes
lucozade-sport-raspberry-500ml.png,lucozade-sport-raspberry-500ml.webp,1200x1200,yes
mars-duo-chocolate-bar-78-8g.png,mars-duo-chocolate-bar-78-8g.webp,1200x1200,yes
oasis-citrus-punch-500ml.png,oasis-citrus-punch-500ml.webp,1200x1200,yes
oasis-summer-fruits-500ml.png,oasis-summer-fruits-500ml.webp,1200x1200,yes
r-whites-lemonade-cans.png,r-whites-lemonade-cans.webp,1200x1200,yes
red-bull-energy-drink-250ml.png,red-bull-energy-drink-250ml.webp,1200x1200,yes
ribena-blackcurrant-500ml.png,ribena-blackcurrant-500ml.webp,1200x1200,yes
robinsons-fruit-shoot-apple-blackcurrant-275ml.png,robinsons-fruit-shoot-apple-blackcurrant-275ml.webp,1200x1200,yes
robinsons-fruit-shoot-orange-juice-275ml.png,robinsons-fruit-shoot-orange-juice-275ml.webp,1200x1200,yes
snickers-duo-bar-83-4g.png,snickers-duo-bar-83-4g.webp,1200x1200,yes
sprite-original-500ml.png,sprite-original-500ml.webp,1200x1200,yes
squares-cheese-onion-crisps-72g.png,squares-cheese-onion-crisps-72g.webp,1200x1200,yes
tango-orange-500ml.png,tango-orange-500ml.webp,1200x1200,yes
vimto-fizzy-500ml.png,vimto-fizzy-500ml.webp,1200x1200,yes
walkers-cheese-onion-32-5g.png,walkers-cheese-onion-32-5g.webp,1200x1200,yes
walkers-ready-salted-32-5g.png,walkers-ready-salted-32-5g.webp,1200x1200,yes
walkers-roast-chicken-32-5g.png,walkers-roast-chicken-32-5g.webp,1200x1200,yes
walkers-salt-vinegar-32-5g.png,walkers-salt-vinegar-32-5g.webp,1200x1200,yes
walkers-tomato-ketchup-32-5g.png,walkers-tomato-ketchup-32-5g.webp,1200x1200,yes
